id,symbol,name,chain,ecosystem,address,usd_price,mcap,fdv,volume_24h,total_liquidity,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_30d,volume_change_percentage_7d,volume_change_percentage_30d,mcap_change_percentage_7d,mcap_change_percentage_30d,price_high_24h,price_ath,circulating_supply,total_supply,support,resistance,rsi,sma,total_holder_count,holder_count_change_percentage_24h,fifty_percentage_holding_wallet_count,first_100_buyers_initial_bought,first_100_buyers_initial_bought_percentage,first_100_buyers_current_holding,first_100_buyers_current_holding_percentage,top_10_holder_balance,top_10_holder_percentage,top_50_holder_balance,top_50_holder_percentage,top_100_holder_balance,top_100_holder_percentage,top_25_holder_buy_24h,top_25_holder_sold_24h,wallet_address,wallet_balance,dev_wallet_total_holding_percentage,dev_wallet_outflow_txs_count_24h,dev_wallet_outflow_amount_24h,fresh_wallet,dev_sold,dev_sold_percentage,bundle_wallet_count,bundle_wallet_supply_percentage,mindshare_3d,mindshare_change_percentage_3d,impression_count_3d,impression_count_change_percentage_3d,engagement_count_3d,engagement_count_change_percentage_3d,follower_count_3d,smart_follower_count_3d,mindshare_7d,mindshare_change_percentage_7d,impression_count_7d,impression_count_change_percentage_7d,engagement_count_7d,engagement_count_change_percentage_7d,follower_count_7d,smart_follower_count_7d,last_updated_at
0xd9277e900aec9bbc0358c218886e2f2a8ad4e142-prototype,TO,nobody,base,virtuals,,0.0000,9720.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,4,,3.00,233350852.12,23.34,0.75,0.00,0.75,0.00,0.75,0.00,0.75,0.00,0.00,0.00,0xebf5b850c731648c6f83649ab9333161147188da,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:07:57.133Z
0xd06135641b5e58f17089967b6dbf592529efd93e-prototype,SHAI,ShibAI,base,virtuals,,0.0000,9720.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,7,,,,,,,0.66,0.00,0.66,0.00,0.66,0.00,0.00,0.00,0xb8f78a67b80dbf0276ca6833ba0314083f2d87d1,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:07:16.568Z
0xd779fabb46ad1aa917ae4c54a794d124bf1d0501-prototype,ASHLEY,Ashley AI,base,virtuals,,0.0000,9720.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,5,,4.00,163759968.00,16.38,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.00,0.00,0.00,0x9fd7d0c9ae7222ab4347565318c038f4bdf758f7,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:07:57.126Z
veil-token,VEIL,Veil Token,base,base,,0.0476,2999218.00,3813853.00,80125.00,409334.00,-0.71,-19.53,-20.12,25.44,-42.30,508.70,-0.90,-11.30,0.0592,0.3110,62912079.14,,0.0478094150,0.0751756053,24.17,0.0604140676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T17:00:35.553Z
0x92c678b1af58bf08b62b1860beec9b9017042654-prototype,LAURA,Laura - Your Logistics Partner,base,virtuals,,0.0000,22855.60,,0.00,,,-4.20,-23.30,-14.80,0.00,0.00,-22.90,-16.50,,,,,,,,,170,,168.00,1151040424.82,115.10,212572488.48,21.26,17549296.16,1.75,17936549.95,1.79,17936549.95,1.79,0.00,0.00,0xe1016407963b7ac7c99611394ca4e3f3bf42c8f4,,,,,True,False,31.97,1,,,,,,,,,,,,,,,,,,2025-06-18T17:05:05.006Z
0xab9788ad92ce9e5d1ead19652f2b188ea087e711-prototype,DOGE,Doge,base,virtuals,,0.0000,17811.40,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,2,,1.00,,,,,,,,,,,0.00,0.00,0x9f6971f905d582167d30281893190eccb10bf16e,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T16:53:29.605Z
0x2c90254f8f91008813a5ef2594979a110525f3d9-prototype,SMILE,ƧMIԼΣ,base,virtuals,,0.0000,13885.70,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,2,,1.00,60424478.14,6.04,,,,,,,,,0.00,0.00,0x0c0dfadc834c69a5c04b5bdcb71f9d94f5217143,,,,,False,False,0.00,,,,,,,,,,,,,,,,,,,2025-06-18T17:10:08.040Z
0xc7794cc3cf1a9ba6c364cfee05eb6f9dfa8e84de-prototype,NYRA,NYRA AI,base,virtuals,,0.0000,12468.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,3,,2.00,,,,,,,,,,,0.00,0.00,0x1d3cdf05ef07fb6960dcec5ca58caede2b200993,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:06:59.634Z
0xb8596ce10f5c69fd9c56f32d4a3f4935ca137110-prototype,EIDO,AI Eido ( Labs ),base,virtuals,,0.0000,12468.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,2,,1.00,308703321.96,30.87,,,,,,,,,0.00,0.00,0x45db64b0142b619ecd8205a7ed543cf65ce5fbe4,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:06:59.540Z
0xf83bea510aa315b1a5659433ff8473ca098964dd-prototype,AGENIC,Agenic AI,base,virtuals,,0.0000,12468.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,3,,2.00,,,,,,,,,,,0.00,0.00,0x0f9993be45e942a9d2d56bc2d902d9fb005e172a,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:28.114Z
